mode, batch_size, sf_e2e, sf_model, dfg_e2e, dfg_model, total_e2e
vllm_shared, 100, 0.71466309, 0.710138474, 17.34465712, 16.736504598, 18.164838461
vllm_shared, 200, 0.715023495, 0.710534638, 27.499643288, 26.362505954, 28.363856453
vllm_shared, 300, 0.715045167, 0.710534037, 37.922916786, 36.253318912, 38.818212739
vllm_shared, 400, 0.703384209, 0.699062274, 48.556079469, 46.434495792, 49.472997658
vllm_shared, 480, 0.729995597, 0.725653185, 57.164128842, 54.697942442, 58.137392705
parrot_shared, 100, 0.734755663, 0.730405828, 12.003591209, 11.465753996, 12.844278137
parrot_shared, 200, 0.71233202, 0.708009845, 16.553832763, 15.614985902, 17.403999885
parrot_shared, 300, 0.766387417, 0.761417695, 21.330834081, 19.998824776, 22.272998086
parrot_shared, 400, 0.698593976, 0.694279363, 26.31400877, 24.572689019, 27.221015858
parrot_shared, 480, 0.722206864, 0.71796244, 30.450778928, 28.356766138, 31.417330387
