mode, batch_size, sf_e2e, sf_model, dfg_e2e, dfg_model, total_e2e
vllm_shared, 200, 0.713035771, 0.708547044, 13.215552246, 12.627312919, 13.980960501
vllm_shared, 400, 0.718019843, 0.713655123, 23.312488319, 22.200068322, 24.122689758
vllm_shared, 600, 0.728267356, 0.724006042, 33.9005062, 32.26682589, 34.762004289
vllm_shared, 800, 0.805114866, 0.800691788, 45.055065174, 42.923196667, 46.033813176
parrot_shared, 200, 0.702957906, 0.698359098, 9.752460815, 9.232343393, 10.510542224
parrot_shared, 400, 0.747133973, 0.742398752, 16.184247389, 15.180658707, 17.029397168
parrot_shared, 600, 0.735578728, 0.730290799, 23.069290386, 21.57828639, 23.9537351
parrot_shared, 800, 0.745572532, 0.74073579, 30.359032854, 28.356392676, 31.303158781
