mode, batch_size, sf_e2e, sf_model, dfg_e2e, dfg_model, total_e2e, request_completion_time
vllm_diverged, 8, 0.0, 0.0, 111.309489033, 108.742598036, 112.476851515, 9.600991815+10.336038173+10.82358263+11.78791186+12.351542549+7.868888327+18.449065616+18.459640394+7.808113863+9.010744621+14.088052004+7.892089581+10.11954278+28.384568183+14.018733996+7.568025507+14.061814323+9.533509129+9.534767895+15.261167012+32.163784859+23.694813262+8.484346212+9.06310268+15.077453894+15.086702954+16.035094192+10.335998002+7.404885038+11.011721759+14.55814212+14.233951727+10.40048358+14.935232057+10.628831722+9.799551919+8.064013797+12.559141632+11.436628337+8.598761639+33.0626303+11.411026091+8.509267552+32.87007731+8.793122973+8.176882469+8.786859744+7.164815865+16.201829412+7.75656619+13.262528813+8.713212947+8.245822414+32.477747962+8.173751825+13.605840097+32.838249547+13.522900538+9.623003693+15.177708231+8.426479061+6.564746818+29.026135649+8.350530078
vllm_diverged, 16, 0.0, 0.0, 98.655395518, 96.453102687, 99.167467516, 16.911269428+17.84692827+17.849080063+18.884954372+18.886932298+20.740122033+21.364355598+22.695935584+22.698348276+29.202799944+29.20432646+30.610355759+14.311833162+33.107627144+33.109327408+17.300015466+16.671807181+24.505115492+13.884050628+22.75220428+15.932038742+26.959752155+15.979280647+23.891547818+48.905924016+27.034109357+14.109770921+19.31315267+24.115248752+60.055973159+24.375883705+43.646199779+16.644447896+14.552763594+19.390679254+21.086696833+20.050873022+15.653206637+18.610791946+23.066024962+14.963345537+30.407695411+15.320416728+14.686580638+15.633868814+13.252098078+13.786502975+14.561835816+13.850234714+22.330109148+56.011093201+27.601727313+13.442749171+10.632264453+20.018122722+11.880249454+13.26137156+52.154614983+17.990084812+20.440439944+13.181266394+12.8265633+44.126224535+39.091715436
vllm_diverged, 32, nan, nan, nan, nan, nan, nan
vllm_diverged, 64, nan, nan, nan, nan, nan, nan
vllm_shared, 8, 0.701898033, 0.697268008, 66.563167138, 63.801266006, 67.956966691, 4.866958384+5.161533925+5.265073596+5.712730073+5.871741765+4.447782369+9.77511117+9.776481904+4.385489038+5.276632229+8.186805872+4.484549232+5.631866289+15.272948025+8.235242562+4.558785498+8.265213762+5.717773883+5.718490845+9.213637391+18.71209955+14.374058433+5.023074604+5.431166201+8.578597326+8.580134873+9.276245979+5.545184565+4.383614657+6.303500337+8.430305481+8.487731335+6.51904+9.359340731+6.49254729+5.829888452+4.957112401+7.622815546+6.743069021+5.092450042+19.452613724+6.435473143+4.819551508+19.610057858+5.046626044+4.820272953+5.281946532+4.581160368+9.845559449+4.796803211+7.893299455+5.233145384+4.844607036+19.543792023+5.228985773+8.197114882+19.500915426+8.114477316+5.783236755+9.096651975+5.23099934+4.256152115+18.281938924+6.609459703
vllm_shared, 16, 0.701035955, 0.696538562, 53.852648633, 51.623833573, 55.010614997, 7.669580915+8.114089801+8.118582636+8.381331303+8.38445055+9.232483282+9.436177692+10.101872401+10.104162711+14.167293103+14.168358152+14.685290827+7.40624927+15.951501831+15.952729026+9.204347047+8.966307694+13.06854143+7.484304674+12.689043529+8.432543359+14.51997429+8.474977066+13.059384749+24.352147657+14.593653359+7.50764282+10.143003655+13.234118131+30.971097638+13.474173084+23.360896865+9.068831733+8.054570485+10.314866178+11.057551753+10.770337997+8.364351614+9.939578424+12.105300165+7.60550971+15.813799239+7.824746714+7.581879063+8.24647642+7.279268823+7.418949254+7.97375195+7.520136087+11.888368668+30.186722537+14.860761219+7.771171562+6.262091516+11.606137039+7.114699438+7.842793652+28.643300479+10.719313314+12.183332379+8.861664908+8.886312176+25.770483468+23.332126024
vllm_shared, 32, 0.705430699, 0.701404461, 45.179887975, 43.230577347, 46.228213388, 12.29123807+12.799319346+12.803196755+12.805954081+13.185068043+13.187690475+13.600661835+14.487236688+14.489447048+14.937425861+16.058091312+16.059809047+16.061975113+16.064586916+17.348057943+17.350471693+18.774001655+23.187517091+23.188485489+23.969218519+23.971449467+23.972494718+23.975100159+23.97732207+13.225521369+26.377797828+26.378772707+26.381329055+26.384793599+11.903414682+13.752690087+15.484125283+12.255918777+13.62105375+16.852717846+17.811549837+11.895294722+15.824840023+16.927312187+18.642975524+10.529525478+10.531824155+10.573093855+11.61721132+11.153490198+22.74535746+8.38436775+36.735992866+36.739733318+10.581359322+20.130659+11.192781681+9.709941218+14.891505963+14.161955856+13.614925653+12.040552292+14.545559282+41.206292733+41.210315645+11.642003694+31.96913564+29.447774432+29.452631369
vllm_shared, 64, 0.687322461, 0.683256459, 45.1817257, 43.279683152, 46.160865301, 25.476291026+25.476851437+26.318224142+26.319946866+26.321002759+26.413649919+26.415023267+26.415743359+26.416868471+26.679924992+26.680866909+26.682158644+26.766230649+26.767636648+27.768827943+27.770253439+27.771605387+27.773465338+27.998949311+28.000688134+28.002243714+29.457260674+29.458599158+29.460356837+29.462241305+29.464376673+29.464898854+29.466850407+30.44538676+30.447246681+30.624382454+30.625922685+30.906532747+31.610159079+31.61092181+31.613505631+33.316367331+33.805009643+35.518040533+35.518936535+35.522536874+35.52527842+35.527894662+35.865321286+35.867887825+35.868950479+35.872182335+35.875289379+35.877036868+36.942960904+36.944158541+36.947954327+36.953070951+36.956282881+36.959299634+36.965476869+14.743001221+41.831702115+41.836205759+45.446879658+45.450677026+45.455194276+45.460167112+45.464865802+45.467750727
parrot_shared, 8, 0.687833396, 0.683804634, 61.873196762, 59.427646743, 63.24626227, 4.587969578+4.872453062+4.973724672+5.392574951+5.546832644+4.144743803+9.166621605+9.168003019+4.084307006+4.91852766+7.65003665+4.216424268+5.30302911+14.345891853+7.728980329+4.272264919+7.758348776+5.322099048+5.322013537+8.578510729+17.463653699+13.367648057+4.633060769+4.98749225+7.913650683+7.914946205+8.556336567+5.102651849+4.0518142+5.816174683+7.747896085+7.81208234+5.988566675+8.590745081+5.949945418+5.336836803+4.564245417+7.056571212+6.243904921+4.739537259+17.942591355+6.002962907+4.514996949+18.146640794+4.709804678+4.470290226+4.891713311+4.177044613+9.079756819+4.38891455+7.254231613+4.805632217+4.515727503+18.114677323+4.837729568+7.596913767+18.034454706+7.508949866+5.317404766+8.417519951+4.820143653+3.946443844+16.925983617+6.28803931
parrot_shared, 16, 0.679301211, 0.675097693, 42.896407777, 40.929080327, 44.031089387, 6.056285451+6.428610336+6.432904416+6.686740352+6.689663009+7.381775996+7.558344213+8.052402438+8.054751648+11.095218509+11.09649814+11.538099583+5.752892486+12.527455409+12.528663287+7.072086999+6.828733994+10.020617402+5.680542005+9.589878129+6.43387189+11.126499201+6.477371694+9.963928631+18.98463024+11.210830204+5.807308781+7.799014426+10.103314481+24.014004651+10.32635092+17.989984051+7.030606799+6.20994816+8.075233297+8.705670775+8.42714914+6.557096721+7.764003179+9.491427053+6.076476812+12.456881936+6.214614004+5.969172937+6.446231477+5.598714287+5.729272314+6.131586623+5.811474587+9.237515531+23.327187901+11.563918914+6.016915084+4.907813498+9.054105492+5.648669832+6.210144074+22.593693082+8.578535333+9.68708647+7.480084181+7.509226909+20.690682343+19.331098337
parrot_shared, 32, 0.68631375, 0.68238008, 33.017003617, 31.334352679, 34.041273562, 8.721455987+9.069525666+9.072908736+9.075203815+9.432983098+9.435255372+9.784314499+10.36550724+10.368085139+10.749274532+11.44147673+11.443326101+11.445573179+11.447989123+12.38716504+12.389565656+13.354091827+15.957632358+15.958461764+16.545427185+16.547272358+16.548119558+16.550748984+16.553212317+8.969943801+18.250715312+18.251656959+18.254485939+18.258276123+7.920540391+9.215066563+10.452435366+8.111011787+9.111916686+11.343016011+12.062418606+7.817694849+10.480431214+11.290006962+12.435621891+7.24422677+7.246509204+7.277488985+8.057307891+7.700712586+15.489842799+5.761464232+25.426509602+25.430550507+7.346134468+13.59416166+7.79765306+6.772690996+10.533756535+10.165086889+9.887205982+8.89671098+10.723746039+29.236167585+29.240211867+8.775525484+23.556071333+21.896350496+21.900808223
parrot_shared, 64, 0.715617214, 0.711654936, 29.445836875, 27.81849371, 30.459526338, 15.183630866+15.184151965+15.573736248+15.575137899+15.576169274+15.619920924+15.621300003+15.622191617+15.623298805+15.746674221+15.747597454+15.748991952+15.791323975+15.79273799+16.293664029+16.295311151+16.296883193+16.298391643+16.409897408+16.411889819+16.413466268+17.128344702+17.129967948+17.131699439+17.133519044+17.135303845+17.135703215+17.137385442+17.675198786+17.677085898+17.776297616+17.777837486+17.938186427+18.343121837+18.343897663+18.346421431+19.34994612+19.642116141+20.728305991+20.729397049+20.733489229+20.736673406+20.739070735+20.98221225+20.9847377+20.985912585+20.98933522+20.992407266+20.994145268+21.79496151+21.796163887+21.799629923+21.80465778+21.807824083+21.810730157+21.816998964+9.600598651+26.276612296+26.281178296+29.715254301+29.719646915+29.724729596+29.729935606+29.73524925+29.738156496
